size,seq_time,ga_time,pso_time,woa_time,hill_climbing_time,simulated_annealing_time,aga_time,ga_speedup,pso_speedup,woa_speedup,hill_climbing_speedup,simulated_annealing_speedup,aga_speedup,ga_metaheuristic_time,pso_metaheuristic_time,woa_metaheuristic_time,hill_climbing_metaheuristic_time,simulated_annealing_metaheuristic_time,aga_metaheuristic_time,ga_vectorization_time,pso_vectorization_time,woa_vectorization_time,hill_climbing_vectorization_time,simulated_annealing_vectorization_time,aga_vectorization_time
20000,1.6570,3.5076,3.5259,3.4402,3.5474,3.6231,6.0596,0.4724,0.4700,0.4817,0.4671,0.4573,0.2735,0.0339,0.0397,0.0764,0.1385,0.0179,2.2093,3.3970,3.4092,3.2879,3.3305,3.4633,3.7716
40000,3.5518,4.2245,3.8853,4.0300,4.0208,3.8358,5.8264,0.8408,0.9142,0.8814,0.8834,0.9260,0.6096,0.0354,0.0462,0.1404,0.1599,0.0157,2.0085,4.0177,3.6738,3.6649,3.6981,3.6562,3.6530
60000,5.2231,4.2298,4.2543,4.3240,4.7022,4.7395,7.0090,1.2349,1.2277,1.2080,1.1108,1.1021,0.7452,0.0368,0.0399,0.0793,0.1589,0.0183,2.3724,3.9526,3.9816,3.9163,4.2840,4.4675,4.3044
80000,7.7266,4.7471,4.9439,4.5861,4.7161,4.8324,6.5966,1.6276,1.5629,1.6848,1.6384,1.5989,1.1713,0.0374,0.0412,0.0773,0.1444,0.0160,2.0965,4.3654,4.5748,4.1916,4.2365,4.3865,4.1872
100000,8.6684,4.9576,4.8654,5.0264,5.1285,4.9557,7.0409,1.7485,1.7817,1.7246,1.6903,1.7492,1.2312,0.0339,0.0603,0.0771,0.1561,0.0176,2.1860,4.4185,4.3917,4.4545,4.5474,4.4327,4.4326
120000,10.3565,5.4221,5.2329,5.3542,5.6294,5.1828,7.3343,1.9101,1.9791,1.9343,1.8397,1.9982,1.4121,0.0365,0.0637,0.0793,0.1549,0.0172,2.0031,4.7907,4.6561,4.8021,4.8510,4.6515,4.7139
140000,12.3503,5.5514,5.7320,5.8159,6.0195,5.8687,8.0388,2.2247,2.1546,2.1235,2.0517,2.1044,1.5363,0.0355,0.0392,0.1411,0.1650,0.0177,2.2762,4.9170,5.1499,4.9700,5.2830,5.0965,4.9979
160000,13.9920,6.0251,6.2212,6.2401,6.1985,6.0260,8.3005,2.3223,2.2491,2.2423,2.2573,2.3220,1.6857,0.0350,0.0561,0.1077,0.1440,0.0156,2.1711,5.3493,5.5084,5.3245,5.2741,5.3665,5.3068
180000,15.8199,6.7113,25.2289,6.7083,6.8097,6.7115,8.7620,2.3572,0.6271,2.3583,2.3232,2.3571,1.8055,0.0355,0.0391,0.0792,0.1530,0.0170,2.1780,5.7313,21.6202,5.8713,5.9511,5.6940,5.5925
200000,17.7445,6.8845,7.2356,6.9150,6.9259,7.0800,9.1495,2.5775,2.4524,2.5661,2.5621,2.5063,1.9394,0.0346,0.0384,0.0762,0.1569,0.0164,2.2096,5.7532,6.0713,5.8393,5.9258,6.2001,5.9320
