size,GA (ms),AGA (ms),PSO (ms),WOA (ms),Hill Climbing (ms),Simulated Annealing (ms)
20000,33.94,2209.26,39.72,76.40,138.51,17.91
40000,35.38,2008.54,46.17,140.42,159.95,15.72
60000,36.81,2372.36,39.91,79.26,158.93,18.33
80000,37.42,2096.54,41.22,77.30,144.44,15.97
100000,33.94,2185.99,60.27,77.12,156.11,17.59
120000,36.45,2003.09,63.66,79.33,154.92,17.22
140000,35.47,2276.25,39.25,141.07,164.95,17.69
160000,35.02,2171.11,56.14,107.69,144.03,15.64
180000,35.54,2178.05,39.12,79.20,152.95,17.04
200000,34.58,2209.58,38.45,76.24,156.93,16.37
