tweets_procesados,tiempo_acumulado_s,tiempo_promedio_s
20000,1.484053611755371,7.420268058776855e-05
40000,3.064485788345337,7.661214470863343e-05
60000,4.637675523757935,7.729459206263225e-05
80000,6.207553148269653,7.759441435337067e-05
100000,7.774130582809448,7.774130582809448e-05
120000,9.340916633605957,7.784097194671631e-05
140000,10.897059202194214,7.78361371585301e-05
160000,12.467087507247925,7.791929692029953e-05
180000,14.022826194763184,7.790458997090658e-05
200000,15.62044072151184,7.81022036075592e-05
220000,17.203901290893555,7.819955132224343e-05
232074,18.131927490234375,7.812993911525795e-05
