tweets_procesados,tiempo_acumulado_s,tiempo_promedio_s
20000,0.6655962000004365,3.3279810000021826e-05
40000,1.330958600001395,3.3273965000034875e-05
60000,2.0153296000007686,3.358882666667948e-05
80000,2.6569718000009743,3.321214750001218e-05
100000,3.3222605000009935,3.322260500000994e-05
120000,4.029188200001954,3.357656833334962e-05
140000,4.705340700002125,3.360957642858661e-05
160000,5.37341600000218,3.3583850000013626e-05
180000,6.021152200002689,3.3450845555570494e-05
200000,6.687608900001578,3.3438044500007893e-05
